RefID,Make,Model,Year,City mileage,Highway mileage,Minimum Price,Maximum Price
1,Chevrolet,Venture,2004,18,24,"6,175","7,775"
2,Saab,9-3',2005,,,,
3,Ford,Crown Victoria,2007,,,,
4,Honda,Civic,2002,26,30,"4,175","6,925"
5,Toyota,4Runner,2005,16,19,"14,400","16,650"
6,Toyota,,2006,,,,
7,Mercury,Mountaineer,2000,,,"4,100",
8,Subaru,Forester,2010,19,24,"17,450","22,100"
9,Ford,Escape,2010,18,23,"13,050","19,400"
10,Toyota,Prius,2010,51,48,"16,100","22,795"
11,Honda,CRV,2009,,,,
12,Chevrolet,Silverado,2000,,,,
13,Hyundai,Sonata,2011,22,33,"15,650","19,100"
14,Ford,Fiesta,2011,28,37,"11,100","13,800"
15,Nissan,Murano,2006,19,24,"11,050","14,800"
16,,,,,,,
17,Audi,A6,2006,17,23,"18,500","43,200"
18,Subaru,Legacy,1990,,,,
19,Chevrolet,Blazer,1998,,,"2,600","3,300"
20,Toyota,Camry,2009,19,28,"13,800","17,200"
21,Mercedes,C230,2003,,,,
22,BMW,135i,2008,,,,
23,,,,,,,
24,Saturn,Ion,2005,23,29,"5,475","9,525"
25,Ford,Taurus,1990,,,,
26,Toyota,RAV4,2008,19,25,"14,500","17,350"
27,Honda,Civic,2005,26,31,"7,325","10,100"
28,Buick,Century,2003,20,29,"5,350","21,235"
29,Chevrolet,Cobalt,2004,,,,
30,Ford,F150,2002,13,17,"12,100","35,800"
31,Chevrolet,,1993,,,,
32,Toyota,Corolla,2011,26,34,"13,400","15,350"
33,Chevrolet,Malibu Classic,2003,,,,
34,Honda,Pilot,2005,17,22,"10,050","12,800"
35,Chevrolet,Cobalt,2007,22,30,"7,500","10,550"
36,Mercedes,,2008,,,,
37,Toyota,Corolla,2000,31,38,"3,425","4,250"
38,Buick,LeSabre,2005,20,29,"6,900","7,975"
39,Jeep,Liberty,2005,17,22,"8,625","9,750"
40,Ford,Taurus,1997,17,25,"2,425","4,550"
41,Pontiac,Grand Am,2001,,,,
42,Toyota,Corolla,2010,22,30,"12,300","15,750"
43,Jeep,Cherokee,2000,16,20,"5,325","7,600"
44,Honda,Accord,1997,19,25,"2,825","4,275"
45,Hyundai,Elantra,2009,24,33,,
46,Jeep,Grand Cherokee,1996,,,,
47,Honda,Accord,2007,20,29,"10,400","16,750"
48,Acura,Integra,1998,25,31,"3,025","7,725"
49,Chevrolet,Silverado,2007,,,,
50,Nissan,Titan,2005,10,13,"9,600","14,300"
51,Toyota,Highlander,2004,18,22,"10,450","11,800"
52,Nissan,Versa,2011,24,31,"10,350","13,950"
53,Infiniti,M35x,2010,,,,
54,Toyota,Corolla,2001,29,33,"4,000","4,450"
55,Toyota,Camry,2005,20,28,"9,200","12,300"
56,Chevrolet,Impala,2001,20,30,"3,300","4,275"
57,,,,,,,
58,Honda,Civic,2001,30,38,"3,900","5,425"
59,Toyota,Camry,1998,19,27,"3,150","3,675"
60,Subaru,Forester,2010,19,24,"17,450","22,100"
61,Chevrolet,Impala,2008,16,24,"11,400","15,700"
62,Chevrolet,Malibu,2003,20,29,"6,700","7,600"
63,Audi,A4,1999,19,27,"3,125","4,250"
64,Mercury,Sable,2003,19,26,"4,175","5,500"
65,Nissan,Titan,2004,14,18,"8,825","12,700"
66,Honda,Civic,1998,30,35,"1,925","3,475"
67,Toyota,RAV4,2008,19,25,"14,500","17,350"
68,Toyota,Corolla,1992,10,10,"9,718","10,738"
69,Mazda,Protege,1999,26,30,"2,000","2,825"
70,Chevrolet,Equinox,2010,17,24,"17,000","22,500"
71,Honda,Civic,2004,26,30,"5,900","9,200"
72,Jeep,Grand Cherokee,2003,,,,
73,Dodge,Caravan,1996,18,24,"2,375","3,825"
74,Honda,Civic,2000,30,35,"3,000","5,500"
75,Toyota,Celica,2000,23,32,"4,175","5,175"
76,Chevrolet,Impala,2008,16,24,"11,400","15,700"
77,Chrysler,P.T. Cruiser,2001,,,,
78,Chevrolet,Classic,2004,,,,
79,Mercury,Cougar,2000,20,28,"2,525","16,540"
80,Nissan,Altima,2005,20,27,"8,075","12,850"
81,Subaru,Outback,2008,17,24,"15,100","20,000"
82,Infiniti,G35x,2009,,,,
83,Mitsubishi,Galant,2003,20,27,"3,325","5,825"
84,Ford,Explorer,2008,13,19,"16,450","20,500"
85,Hyundai,Elantra,2007,28,36,"9,750","10,450"
86,Honda,Civic,2006,23,32,"8,550","12,500"
87,Ford,Focus,2005,23,32,"5,475","7,800"
88,Nissan,Altima,2006,20,27,"8,325","13,500"
89,,,,,,,
90,,,,,,,
91,Toyota,Corolla,2009,22,30,"11,750","15,350"
92,Honda,Civic,2006,23,32,"8,550","12,500"
93,Ford,Ranger,1994,16,20,"3,350","4,875"
94,Dodge,Neon,2005,25,32,"13,800","16,110"
95,,,,,,,
96,Ford,Mustang,2000,17,24,"5,300","7,925"
97,Chrysler,300m,2000,,,"3,875",
